poNumber,prReference,vendor_vendorID,plant,purchOrg,purchGroup,docDate,deliveryDate,paymentTerms,totalValue,taxAmount,currency_code,status,remarks
PO0000001,PR0000001,V001,NB10,NBPO,PG1,2025-01-10,2025-01-25,NT30,855000.00,153900.00,INR,FULLY_DELIVERED,Steel coils for Q1 production
PO0000002,PR0000002,V009,NB10,NBPO,PG2,2025-01-12,2025-01-20,NT45,48750.00,8775.00,INR,INVOICED,Bearings and MRO items
PO0000003,PR0000003,V004,NB10,NBPO,PG1,2025-01-18,2025-02-10,NT60,255000.00,45900.00,INR,PARTIALLY_DELIVERED,PLC Siemens S7-1200 units
PO0000004,PR0000004,V010,NB20,NBPO,PG2,2025-01-22,2025-01-30,NT30,36000.00,6480.00,INR,FULLY_DELIVERED,Safety gloves and PPE
PO0000005,PR0000005,V004,NB10,NBPO,PG1,2025-02-05,2025-02-20,NT60,780000.00,140400.00,INR,FULLY_DELIVERED,Copper wire rod 8mm
PO0000006,,V003,NB10,NBPO,PG2,2025-02-08,2025-02-15,NT30,75000.00,13500.00,INR,INVOICED,Freight charges Jan-Feb
PO0000007,,V006,NB10,NBPO,PG1,2025-02-12,2025-03-05,NT45,540000.00,97200.00,INR,OPEN,Diesel engine components
PO0000008,,V005,NB20,NBPO,PG1,2025-02-15,2025-02-28,NT30,127500.00,22950.00,INR,PARTIALLY_DELIVERED,Bosch fuel injection parts
PO0000009,,V002,NB10,NBPO,PG1,2025-02-20,2025-03-10,NT45,320000.00,57600.00,INR,OPEN,Zinc ingots for galvanizing
PO0000010,,V007,NB10,NBPO,PG1,2025-02-25,2025-03-20,NT60,890000.00,160200.00,INR,OPEN,Heat exchanger unit - Thermax
PO0000011,,V008,NB10,NBPO,PG1,2025-03-01,2025-03-25,NT30,1250000.00,225000.00,INR,OPEN,Structural steel fabrication
PO0000012,,V001,NB10,NBPO,PG1,2025-03-05,2025-03-20,NT30,425000.00,76500.00,INR,OPEN,HR coil Q2 first batch
PO0000013,,V003,NB20,NBPO,PG2,2025-03-08,2025-03-15,NT30,45000.00,8100.00,INR,CANCELLED,Cancelled - route change
PO0000014,,V009,NB10,NBPO,PG2,2025-03-10,2025-03-30,NT45,220000.00,39600.00,INR,OPEN,Industrial bearing bulk order
PO0000015,,V004,NB20,NBPO,PG1,2025-03-12,2025-04-05,NT60,680000.00,122400.00,INR,OPEN,Automation components Siemens
